Name,Address,Product,Draw,Value,Postal_Code,Latitude,Longitude
PETRO CANADA,1755 ALBION RD M9V-1C3 ETOBICOKE,CROSS DELUXE,31-3351,250000.0,M9V-1C3,43.743726,-79.606721
PORT COLBORNE SOBEYS #4735,287 WEST SIDE RD L3K-5L2 PORT COLBORNE,BONUS MONEY,31-2355,250000.0,L3K-5L2,42.904187,-79.265884
QQ+ CONVENIENCE,1395 DAVENPORT RD M6H-2H6 TORONTO,CASH IN,31-2367,250000.0,M6H-2H6,43.6727309,-79.4411788
ROCKWOOD LOTTO CENTRE,4141 DIXIE RD L4W-1V5 MISSISSAUGA,BINGO MULTIP,31-3080,250000.0,L4W-1V5,43.62564,-79.604682
SANDHURST SUPER MARKET,1001 SANDHURST CIR M1V-1Z6 SCARBOROUGH,GOLDEN JP,31-2333,250000.0,M1V-1Z6,43.809274,-79.263704
TANNER'S YOUR INDEPENDENT GROCER,745 CENTER ST P5E-1S8 ESPANOLA,POKER NIGHT,31-2341,250000.0,P5E-1S8,46.246847,-81.759473
THICKSON CONVENIENCE,80 THICKSON RD S L1N-7T2 WHITBY,CROSS DELUXE,31-3351,250000.0,L1N-7T2,43.891714,-78.915587
SCOTT'S STORE,5 LAKE ST K0K-2T0 PICTON,Lotto Max,11-Jul-2023,243397.3,K0K-2T0,44.00312059,-77.15093763
PIONEER SNACK EXPRESS,919 UPPER PARADISE RD L9B-2M9 HAMILTON,Lotto Max,19-May-2023,232634.8,L9B-2M9,43.21768,-79.91822
MISTER CONVENIENCE,608 ORPINGTON RD K9J-4A4 PETERBOROUGH,Lotto Max,30-Jun-2023,212849.2,K9J-4A4,44.277774,-78.326217
CMN SUPERMARKET,2189 WESTON RD M9N-1X9 YORK,PLINKO,31-2280,200000.0,M9N-1X9,43.703469,-79.526067
KITCHEN FOOD FAIR #284,284 QUEEN ST E L6V-1C2 BRAMPTON,Lightning Lotto,07-Jul-2023,195340.5,L6V-1C2,43.699658,-79.74635
PETRO CANADA,900 PROGRESS AVE M1H-2Z9 SCARBOROUGH,Poker Lotto All In,08-Feb-2023,177330.0,M1H-2Z9,43.782143,-79.234824
ACTON SHELL & CONVENIENCE,318 QUEEN ST L7J-1R2 ACTON,Poker Lotto All In,19-Apr-2023,175327.2,L7J-1R2,43.63587,-80.029023
